acronym,nb total mentions throught different rows,nb total mentions in text,mentions in text,num_variations,variations,Total True,Total False,True/False
PAR,6,6,"[(0, 1), (50, 1), (75, 1), (103, 1), (117, 1), (159, 1)]",5,"{""Plan d'action régional"", 'Préposition ""par""', ""Poste d'aiguillage et de régulation : assure les commandes des installations de signalisation et la gestion de la circulation des huit lignes à grande vitesse"", ""PONT DE L'ARCHE"", ""Plan d'action régularité""}",6,8,"{0: {'True': 1, 'False': 3}, 50: {'True': 1, 'False': 3}, 75: {'True': 1, 'False': 4}, 103: {'True': 1, 'False': 3}, 117: {'True': 1, 'False': 3}, 159: {'True': 1, 'False': 3}}"
PN,21,25,"[(1, 1), (8, 1), (47, 1), (51, 1), (56, 1), (71, 1), (72, 1), (115, 4), (143, 1), (150, 1), (164, 1), (200, 1), (203, 1), (243, 1), (321, 1), (404, 1), (428, 1), (439, 1), (464, 2), (473, 1), (484, 1)]",7,"{'Paris Nord', 'Passage à Niveau', 'Passages à niveau : fichier des pn, recensement des accidents de pn, statistiques (infrastructure)', 'PONS', 'Période normale', 'Pousse non attelée', 'Partiellement noté'}",21,26,"{1: {'True': 1, 'False': 6}, 8: {'True': 1, 'False': 6}, 47: {'True': 1, 'False': 6}, 51: {'True': 2, 'False': 5}, 56: {'True': 2, 'False': 5}, 71: {'True': 1, 'False': 6}, 72: {'True': 1, 'False': 6}, 115: {'True': 1, 'False': 6}, 143: {'True': 1, 'False': 6}, 150: {'True': 1, 'False': 6}, 164: {'True': 1, 'False': 6}, 200: {'True': 2, 'False': 5}, 203: {'True': 0, 'False': 7}, 243: {'True': 1, 'False': 6}, 321: {'True': 1, 'False': 6}, 404: {'True': 1, 'False': 6}, 428: {'True': 0, 'False': 7}, 439: {'True': 1, 'False': 6}, 464: {'True': 2, 'False': 5}, 473: {'True': 1, 'False': 6}, 484: {'True': 1, 'False': 6}}"
EM,24,24,"[(2, 1), (13, 1), (25, 1), (43, 1), (65, 1), (70, 1), (86, 1), (87, 1), (88, 1), (95, 1), (101, 1), (113, 1), (122, 1), (151, 1), (173, 1), (178, 1), (187, 1), (196, 1), (208, 1), (262, 1), (293, 1), (348, 1), (420, 1), (426, 1)]",6,"{'électro-magnétique', 'État membre', 'EMERAINVILLE PONTAULT COMBAULT', 'Étude mécanique', 'Engin Moteur.   Terme général désignant tout véhicule ayant la propriété de se déplacer par ses propres moyens : machine, automoteur, élément automoteur, draisine, engin spécial motorisé non déraillable.', 'Emetteur'}",24,28,"{2: {'True': 1, 'False': 5}, 13: {'True': 1, 'False': 5}, 25: {'True': 1, 'False': 5}, 43: {'True': 1, 'False': 5}, 65: {'True': 1, 'False': 5}, 70: {'True': 1, 'False': 5}, 86: {'True': 1, 'False': 5}, 87: {'True': 1, 'False': 5}, 88: {'True': 1, 'False': 5}, 95: {'True': 1, 'False': 5}, 101: {'True': 1, 'False': 5}, 113: {'True': 1, 'False': 5}, 122: {'True': 1, 'False': 5}, 151: {'True': 1, 'False': 5}, 173: {'True': 1, 'False': 5}, 178: {'True': 1, 'False': 5}, 187: {'True': 1, 'False': 5}, 196: {'True': 1, 'False': 5}, 208: {'True': 1, 'False': 5}, 262: {'True': 1, 'False': 5}, 293: {'True': 1, 'False': 5}, 348: {'True': 1, 'False': 5}, 420: {'True': 1, 'False': 5}, 426: {'True': 1, 'False': 5}}"
AC,29,29,"[(3, 1), (20, 1), (26, 1), (73, 1), (76, 1), (98, 1), (111, 1), (125, 1), (126, 1), (132, 1), (142, 1), (157, 1), (161, 1), (165, 1), (177, 1), (205, 1), (214, 1), (228, 1), (236, 1), (282, 1), (288, 1), (305, 1), (326, 1), (327, 1), (357, 1), (398, 1), (418, 1), (463, 1), (476, 1)]",10,"{'Amélioration Continue', 'Accord Cadre', 'ACcès', ""Attestation de Compatibilité du matériel roulant à l'infrastructure"", 'Autorité de Certification  ', 'Agent du service Commercial  ', 'AURILLAC', 'Action Corrective', ""Agent d'aCcompagnement "", 'Agent Circulation  '}",28,38,"{3: {'True': 0, 'False': 10}, 20: {'True': 0, 'False': 10}, 26: {'True': 1, 'False': 9}, 73: {'True': 1, 'False': 9}, 76: {'True': 1, 'False': 9}, 98: {'True': 0, 'False': 10}, 111: {'True': 0, 'False': 10}, 125: {'True': 0, 'False': 10}, 126: {'True': 0, 'False': 10}, 132: {'True': 1, 'False': 9}, 142: {'True': 1, 'False': 9}, 157: {'True': 1, 'False': 9}, 161: {'True': 0, 'False': 10}, 165: {'True': 0, 'False': 10}, 177: {'True': 1, 'False': 9}, 205: {'True': 1, 'False': 9}, 214: {'True': 1, 'False': 9}, 228: {'True': 1, 'False': 9}, 236: {'True': 0, 'False': 10}, 282: {'True': 1, 'False': 9}, 288: {'True': 1, 'False': 9}, 305: {'True': 1, 'False': 9}, 326: {'True': 0, 'False': 10}, 327: {'True': 1, 'False': 9}, 357: {'True': 0, 'False': 10}, 398: {'True': 0, 'False': 10}, 418: {'True': 1, 'False': 9}, 463: {'True': 1, 'False': 9}, 476: {'True': 0, 'False': 10}}"
TIV,17,27,"[(4, 2), (17, 2), (57, 2), (94, 2), (97, 1), (114, 2), (152, 2), (170, 2), (247, 1), (268, 1), (350, 1), (373, 1), (387, 2), (451, 2), (452, 1), (462, 1), (483, 2)]",3,"{'THIVIERS', 'Tableau indicateur de vitesse', 'Trafic international voyageur'}",17,18,"{4: {'True': 1, 'False': 2}, 17: {'True': 1, 'False': 2}, 57: {'True': 1, 'False': 2}, 94: {'True': 1, 'False': 2}, 97: {'True': 1, 'False': 2}, 114: {'True': 0, 'False': 3}, 152: {'True': 1, 'False': 2}, 170: {'True': 1, 'False': 2}, 247: {'True': 1, 'False': 2}, 268: {'True': 1, 'False': 2}, 350: {'True': 1, 'False': 2}, 373: {'True': 1, 'False': 2}, 387: {'True': 1, 'False': 2}, 451: {'True': 1, 'False': 2}, 452: {'True': 1, 'False': 2}, 462: {'True': 1, 'False': 2}, 483: {'True': 1, 'False': 2}}"
RFF,21,21,"[(5, 1), (48, 1), (60, 1), (93, 1), (137, 1), (145, 1), (169, 1), (198, 1), (199, 1), (207, 1), (221, 1), (273, 1), (331, 1), (335, 1), (352, 1), (353, 1), (371, 1), (388, 1), (442, 1), (455, 1), (488, 1)]",2,"{'ROSCOFF', 'Réseau férré de france'}",21,21,"{5: {'True': 1, 'False': 1}, 48: {'True': 1, 'False': 1}, 60: {'True': 1, 'False': 1}, 93: {'True': 1, 'False': 1}, 137: {'True': 1, 'False': 1}, 145: {'True': 1, 'False': 1}, 169: {'True': 1, 'False': 1}, 198: {'True': 1, 'False': 1}, 199: {'True': 1, 'False': 1}, 207: {'True': 1, 'False': 1}, 221: {'True': 1, 'False': 1}, 273: {'True': 1, 'False': 1}, 331: {'True': 1, 'False': 1}, 335: {'True': 1, 'False': 1}, 352: {'True': 1, 'False': 1}, 353: {'True': 1, 'False': 1}, 371: {'True': 1, 'False': 1}, 388: {'True': 1, 'False': 1}, 442: {'True': 1, 'False': 1}, 455: {'True': 1, 'False': 1}, 488: {'True': 1, 'False': 1}}"
DAAT,7,7,"[(6, 1), (232, 1), (276, 1), (283, 1), (313, 1), (325, 1), (485, 1)]",2,"{'Diagnostique Amiante Avant Travaux', ""Dispositif d'Arrêt Automatique des Trains, contrôle de franchissement simplifié reposant sur une transmission sol-bord à l'aide de crocodiles et contribuant à la réduction du risque de nez à nez.  Le DAAT est installé sur les lignes à une seule voie non électrifiées.""}",7,7,"{6: {'True': 1, 'False': 1}, 232: {'True': 1, 'False': 1}, 276: {'True': 1, 'False': 1}, 283: {'True': 1, 'False': 1}, 313: {'True': 1, 'False': 1}, 325: {'True': 1, 'False': 1}, 485: {'True': 1, 'False': 1}}"
GID,18,18,"[(7, 1), (14, 1), (79, 1), (89, 1), (144, 1), (149, 1), (156, 1), (202, 1), (242, 1), (250, 1), (264, 1), (267, 1), (298, 1), (329, 1), (405, 1), (415, 1), (430, 1), (445, 1)]",2,"{'GIRONDE', ""Gestionnaire d'Infrastructure Délégué :   Organisme, mentionné à l'article 9 du décret 2006-1279 modifié, chargé de la gestion du trafic et des circulations ainsi que du fonctionnement et de l'entretien des installations de sécurité et, le cas échéant, des installations techniques du réseau ferré national.""}",18,18,"{7: {'True': 1, 'False': 1}, 14: {'True': 1, 'False': 1}, 79: {'True': 1, 'False': 1}, 89: {'True': 1, 'False': 1}, 144: {'True': 1, 'False': 1}, 149: {'True': 1, 'False': 1}, 156: {'True': 1, 'False': 1}, 202: {'True': 1, 'False': 1}, 242: {'True': 1, 'False': 1}, 250: {'True': 1, 'False': 1}, 264: {'True': 1, 'False': 1}, 267: {'True': 1, 'False': 1}, 298: {'True': 1, 'False': 1}, 329: {'True': 1, 'False': 1}, 405: {'True': 1, 'False': 1}, 415: {'True': 1, 'False': 1}, 430: {'True': 1, 'False': 1}, 445: {'True': 1, 'False': 1}}"
US,24,28,"[(9, 1), (11, 1), (74, 1), (99, 1), (129, 1), (147, 1), (168, 1), (180, 1), (183, 1), (192, 1), (204, 1), (230, 2), (272, 1), (274, 1), (285, 1), (304, 1), (311, 2), (363, 2), (376, 1), (466, 1), (467, 1), (469, 2), (471, 1), (487, 1)]",4,"{'Unité simple : mode de traction utilisant un seul engin moteur (us tgv = 1 rame tgv - um tgv = 2 rames tgv)', 'Unité de signalisation', ""US (Val-d'Oise)"", 'Ultra Son'}",24,26,"{9: {'True': 1, 'False': 3}, 11: {'True': 1, 'False': 3}, 74: {'True': 1, 'False': 3}, 99: {'True': 1, 'False': 3}, 129: {'True': 1, 'False': 3}, 147: {'True': 1, 'False': 3}, 168: {'True': 1, 'False': 3}, 180: {'True': 1, 'False': 3}, 183: {'True': 1, 'False': 3}, 192: {'True': 1, 'False': 3}, 204: {'True': 1, 'False': 3}, 230: {'True': 1, 'False': 3}, 272: {'True': 1, 'False': 3}, 274: {'True': 1, 'False': 3}, 285: {'True': 1, 'False': 3}, 304: {'True': 1, 'False': 3}, 311: {'True': 1, 'False': 3}, 363: {'True': 1, 'False': 3}, 376: {'True': 1, 'False': 3}, 466: {'True': 1, 'False': 3}, 467: {'True': 1, 'False': 3}, 469: {'True': 1, 'False': 3}, 471: {'True': 1, 'False': 3}, 487: {'True': 1, 'False': 3}}"
RST,1,1,"[(10, 1)]",2,"{'Radio Sol-Train.  Liaison avec TD : dialogue sélectif avec un mécanicien  Liaison sans TD : dialogue entendu dans tout le canton', ""Registre de Sécurité Train : élément de la démonstration de la sécurité  en vue de l'obtention d'une autorisation de mise en circulation.""}",1,1,"{10: {'True': 1, 'False': 1}}"
