option,nb_trues,nb_false,nb_variations,variations
Plan d'action régularité,0,6,0,[]
Poste d'aiguillage et de régulation : assure les commandes des installations de signalisation et la gestion de la circulation des huit lignes à grande vitesse,5,1,0,[]
PONT DE L'ARCHE,0,6,0,[]
Plan d'action régional,0,6,0,[]
"Passages à niveau : fichier des pn, recensement des accidents de pn, statistiques (infrastructure)",5,16,0,[]
Paris Nord,0,21,0,[]
PONS,0,21,0,[]
Période normale,0,21,0,[]
Partiellement noté,0,21,0,[]
Pousse non attelée,0,21,0,[]
Passage à Niveau,18,3,1,"['Passages à niveau : fichier des pn, recensement des accidents de pn, statistiques (infrastructure)']"
EMERAINVILLE PONTAULT COMBAULT,0,24,0,[]
"Engin Moteur.   Terme général désignant tout véhicule ayant la propriété de se déplacer par ses propres moyens : machine, automoteur, élément automoteur, draisine, engin spécial motorisé non déraillable.",24,0,0,[]
Emetteur,0,24,1,['Transmetteur']
État membre,0,24,0,[]
Étude mécanique,0,24,0,[]
électro-magnétique,0,24,0,[]
ACcès,0,29,0,[]
Agent d'aCcompagnement ,0,29,0,[]
Agent Circulation  ,4,25,0,[]
Agent du service Commercial  ,0,29,0,[]
Action Corrective,0,29,0,[]
AURILLAC,0,29,0,[]
Autorité de Certification  ,0,29,0,[]
Accord Cadre,0,29,0,[]
Attestation de Compatibilité du matériel roulant à l'infrastructure,12,17,0,[]
Amélioration Continue,0,29,0,[]
THIVIERS,0,17,0,[]
Trafic international voyageur,0,17,0,[]
Tableau indicateur de vitesse,16,1,0,[]
Réseau férré de france,21,0,0,[]
ROSCOFF,0,21,0,[]
Diagnostique Amiante Avant Travaux,0,7,0,[]
"Dispositif d'Arrêt Automatique des Trains, contrôle de franchissement simplifié reposant sur une transmission sol-bord à l'aide de crocodiles et contribuant à la réduction du risque de nez à nez.  Le DAAT est installé sur les lignes à une seule voie non électrifiées.",7,0,0,[]
"Gestionnaire d'Infrastructure Délégué :   Organisme, mentionné à l'article 9 du décret 2006-1279 modifié, chargé de la gestion du trafic et des circulations ainsi que du fonctionnement et de l'entretien des installations de sécurité et, le cas échéant, des installations techniques du réseau ferré national.",18,0,0,[]
GIRONDE,0,18,0,[]
Ultra Son,0,24,0,[]
Unité simple : mode de traction utilisant un seul engin moteur (us tgv = 1 rame tgv - um tgv = 2 rames tgv),24,0,0,[]
Unité de signalisation,0,24,0,[]
US (Val-d'Oise),0,24,0,[]
Registre de Sécurité Train : élément de la démonstration de la sécurité  en vue de l'obtention d'une autorisation de mise en circulation.,0,1,0,[]
Radio Sol-Train.  Liaison avec TD : dialogue sélectif avec un mécanicien  Liaison sans TD : dialogue entendu dans tout le canton,1,0,0,[]
CLERMONT FERRAND,0,33,0,[]
